time,open,high,low,close,Volume,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2022-05-16,31290.02,31293.31,29055,29839.89,22646.19959,32.8379031693774,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-17,29839.89,30750,29415.01,30412.12,19833.32138,35.361161751767284,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-18,30412.1,30675.92,28605,28672.94,28348.44073,31.488988217716667,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-19,28671.5,30500,28645.2,30274.59,29009.98545,38.20050921104562,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-20,30274.59,30729.83,28690.92,29155.75,34328.20232,35.57850538297531,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-21,29155.74,29613.34,28913.26,29408.26,9998.49791,36.63557825117267,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-22,29407.4,30457.9,29211,30260.87,11774.15077,40.203430975085546,NaN,NaN,NaN,NaN,40.203430975085546,NaN
2022-05-23,30258.04,30635.39,28847.72,29082.52,25413.09701,37.09470836695494,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-24,29079.31,29802,28611,29626.44,17077.05318,39.4231788599813,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-25,29627.61,30192.08,29296.12,29503.49,17180.58043,39.07111812854036,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-26,29503.48,29850,28000,29166.06,26598.60039,38.066392433144,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-27,29166.06,29355.4,28220,28598.31,21035.55167,36.37161605700338,NaN,NaN,36.37161605700338,NaN,NaN,NaN
2022-05-28,28598.31,29239.52,28500,29008.99,7717.35819,38.50439504357855,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-29,29008.99,29550,28809.84,29447.07,6727.94197,40.78455095307213,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-30,29447.08,32232.16,29273.65,31711.42,24915.38703,50.91529734000471,NaN,NaN,NaN,NaN,NaN,NaN
2022-05-31,31716.67,32383.96,31195.9,31784.05,21187.79111,51.20366779767428,NaN,NaN,NaN,NaN,51.20366779767428,NaN
2022-06-01,31784.18,31964.56,29308.01,29788.79,26857.47711,43.62179833079895,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-02,29789.19,30655,29558.61,30433.75,18519.1407,46.38540498531044,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-03,30429.12,30674.95,29213.47,29670.85,15016.79617,43.659189398430534,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-04,29672.77,29952,29454.14,29843.18,6390.77399,44.4533614199214,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-05,29837.56,30158.44,29505.65,29901.54,5482.51064,44.73745502099226,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-06,29899.62,31745,29866.44,31343.61,20384.92672,51.357692657147965,NaN,NaN,NaN,NaN,51.357692657147965,NaN
2022-06-07,31349.59,31549.21,29200,31106.9,23234.09554,50.29266161942584,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-08,31111,31306.32,29829.98,30177,16775.54756,46.236235648585556,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-09,30182.92,30679.72,29904,30079.62,13334.24925,45.819455462943864,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-10,30079.59,30337.83,28821.15,29063.11,23208.78489,41.60363205737071,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-11,29058.79,29411.11,28080.01,28388.63,13276.77629,39.03706980487208,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-12,28395.03,28516.33,26532.95,26555.2,18661.95631,33.06565050702244,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-13,26555.17,26869.35,21920,22460.97,81724.85904,24.173115711501097,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-14,22460.97,23299.22,20816.4,22120.25,47382.81576,23.60420008380342,NaN,NaN,NaN,NaN,NaN,NaN
2022-06-15,22120.23,22769.12,20071,22562.33,62040.46779,26.03651890132693,NaN,NaN,NaN,NaN,NaN,NaN
